ID: 1, User: admin, Role: ADMIN
ID: 3, User: __.army.__01, Role: EMPLOYEE
ID: 4, User: army_01, Role: ADMIN
ID: 5, User: john.miller51, Role: EMPLOYEE
ID: 6, User: grace.davis42, Role: EMPLOYEE
ID: 7, User: frank.smith86, Role: EMPLOYEE
ID: 8, User: diana.taylor91, Role: EMPLOYEE
ID: 9, User: eve.brown99, Role: EMPLOYEE
ID: 10, User: charlie.johnson34, Role: EMPLOYEE
ID: 11, User: frank.moore53, Role: EMPLOYEE
ID: 12, User: charlie.miller28, Role: EMPLOYEE
ID: 13, User: john.brown55, Role: EMPLOYEE
ID: 14, User: bob.miller40, Role: EMPLOYEE
ID: 15, User: army_70, Role: ADMIN
ID: 16, User: ava.williams318, Role: EMPLOYEE
ID: 17, User: emma.jones579, Role: EMPLOYEE
ID: 18, User: olivia.johnson855, Role: EMPLOYEE
ID: 19, User: charlotte.miller498, Role: EMPLOYEE
ID: 20, User: sophia.garcia316, Role: EMPLOYEE
ID: 21, User: olivia.smith769, Role: EMPLOYEE
ID: 22, User: oliver.smith153, Role: EMPLOYEE
ID: 23, User: charlotte.garcia195, Role: EMPLOYEE
ID: 24, User: elijah.brown501, Role: EMPLOYEE
ID: 25, User: sophia.davis960, Role: EMPLOYEE
ID: 26, User: charlotte.williams166, Role: EMPLOYEE
ID: 27, User: olivia.williams825, Role: EMPLOYEE
ID: 28, User: william.miller432, Role: EMPLOYEE
ID: 29, User: olivia.johnson136, Role: EMPLOYEE
ID: 30, User: sophia.miller388, Role: EMPLOYEE
ID: 31, User: ava.rodriguez444, Role: EMPLOYEE
ID: 32, User: olivia.garcia995, Role: EMPLOYEE
ID: 33, User: liam.garcia338, Role: EMPLOYEE
ID: 34, User: charlotte.martinez628, Role: EMPLOYEE
ID: 35, User: olivia.miller737, Role: EMPLOYEE
ID: 36, User: noah.rodriguez701, Role: EMPLOYEE
ID: 37, User: oliver.davis299, Role: EMPLOYEE
ID: 38, User: liam.rodriguez774, Role: EMPLOYEE
ID: 39, User: oliver.davis720, Role: EMPLOYEE
ID: 40, User: liam.martinez117, Role: EMPLOYEE
ID: 41, User: oliver.miller981, Role: EMPLOYEE
ID: 42, User: noah.brown394, Role: EMPLOYEE
ID: 43, User: ava.jones164, Role: EMPLOYEE
ID: 44, User: liam.johnson397, Role: EMPLOYEE
ID: 45, User: ava.rodriguez187, Role: EMPLOYEE
ID: 46, User: william.davis809, Role: EMPLOYEE
ID: 47, User: noah.johnson890, Role: EMPLOYEE
ID: 48, User: william.johnson256, Role: EMPLOYEE
ID: 49, User: sophia.williams265, Role: EMPLOYEE
ID: 50, User: sophia.williams607, Role: EMPLOYEE
ID: 51, User: olivia.rodriguez919, Role: EMPLOYEE
ID: 52, User: charlotte.davis163, Role: EMPLOYEE
ID: 53, User: william.smith943, Role: EMPLOYEE
ID: 54, User: ava.johnson774, Role: EMPLOYEE
ID: 55, User: olivia.davis876, Role: EMPLOYEE
ID: 56, User: elijah.williams447, Role: EMPLOYEE
ID: 57, User: ava.garcia686, Role: EMPLOYEE
ID: 58, User: charlotte.davis801, Role: EMPLOYEE
ID: 59, User: charlotte.martinez646, Role: EMPLOYEE
ID: 60, User: charlotte.brown724, Role: EMPLOYEE
ID: 61, User: oliver.williams804, Role: EMPLOYEE
ID: 62, User: sophia.garcia270, Role: EMPLOYEE
ID: 63, User: elijah.brown745, Role: EMPLOYEE
ID: 64, User: olivia.smith267, Role: EMPLOYEE
ID: 65, User: olivia.miller340, Role: EMPLOYEE
ID: 66, User: charlotte.miller160, Role: EMPLOYEE
ID: 67, User: william.davis587, Role: EMPLOYEE
ID: 68, User: ava.davis321, Role: EMPLOYEE
ID: 69, User: olivia.martinez903, Role: EMPLOYEE
ID: 70, User: olivia.jones930, Role: EMPLOYEE
ID: 71, User: william.smith390, Role: EMPLOYEE
ID: 72, User: william.garcia765, Role: EMPLOYEE
ID: 73, User: sophia.brown475, Role: EMPLOYEE
ID: 74, User: oliver.jones465, Role: EMPLOYEE
ID: 75, User: olivia.brown729, Role: EMPLOYEE
ID: 76, User: alice.johnson, Role: EMPLOYEE
ID: 77, User: bob.smith, Role: EMPLOYEE
ID: 78, User: charlie.brown, Role: EMPLOYEE
ID: 79, User: diana.prince, Role: EMPLOYEE
ID: 80, User: ethan.hunt, Role: EMPLOYEE
ID: 81, User: fiona.gallagher, Role: EMPLOYEE
ID: 82, User: george.costanza, Role: EMPLOYEE
ID: 83, User: hannah.baker, Role: EMPLOYEE
ID: 84, User: ian.wright, Role: EMPLOYEE
ID: 85, User: jane.austen, Role: EMPLOYEE
ID: 86, User: army01, Role: ADMIN
ID: 88, User: army02, Role: ADMIN
ID: 89, User: army03, Role: ADMIN
